ACCIDENT NO,ACCIDENT DATE,ACCIDENT TIME,ACCIDENT TYPE,ACCIDENT TYPE DESC,DAY OF WEEK,DAY WEEK DESCRIPTION,DCA CODE,DCA DESCRIPTION,DIRECTORY,EDITION,PAGE,GRID REFERENCE X,GRID REFERENCE Y,LIGHT CONDITION,LIGHT CONDITION DESC,NODE ID,NO OF VEHICLES,NO PERSONS,NO PERSONS INJ 2,NO PERSONS INJ 3,NO PERSONS KILLED,NO PERSONS NOT INJ,POLICE ATTEND,ROAD GEOMETRY,ROAD GEOMETRY  DESC,SEVERITY,SPEED ZONE
12000002693,10/1/2000,07.15.00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,2P,D,2,1,Day,29592,3,3,0,1,0,2,1,4,Multiple intersection,3,60
12000002696,10/1/2000,11.00.00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2P,C,7,1,Day,40105,2,2,0,1,0,1,1,1,Cross intersection,3,60
12000002706,4/1/2000,18.15.00,1,Collision with vehicle,3,Tuesday,152,PULLING OUT (OVERTAKING)                  ,MEL,40,58,F,7,1,Day,29598,2,2,0,1,0,1,1,1,Cross intersection,3,60
12000002709,8/1/2000,13.45.00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,MEL,40,2B,A,8,1,Day,127454,2,4,1,0,0,3,1,5,Not at intersection,2,60
12000002716,8/1/2000,12.30.00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH                        ,MEL,40,1A,G,10,1,Day,35356,2,2,1,0,0,1,1,1,Cross intersection,2,60
12000002721,2/1/2000,22.10.00,1,Collision with vehicle,1,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD    ,MEL,40,2H,A,5,3,Dark Street lights on,127336,2,1,0,1,0,0,1,5,Not at intersection,3,60
12000002722,6/1/2000,06.40.00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,1B,Q,1,2,Dusk/Dawn,65670,2,3,0,1,0,2,1,1,Cross intersection,3,60
12000002738,7/1/2000,21.30.00,2,Struck Pedestrian,6,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,MEL,40,2K,F,1,3,Dark Street lights on,29460,1,2,0,1,0,1,2,1,Cross intersection,3,60
12000002739,4/1/2000,01.00.00,1,Collision with vehicle,3,Tuesday,136,RIGHT TURN SIDESWIPE                    ,MEL,40,68,F,6,3,Dark Street lights on,41380,2,2,1,0,0,1,1,1,Cross intersection,2,60
12000002740,12/1/2000,23.40.00,2,Struck Pedestrian,4,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,MEL,40,2C,A,8,3,Dark Street lights on,127338,1,2,1,0,0,1,1,5,Not at intersection,2,60
12000002741,8/1/2000,07.35.00,1,Collision with vehicle,7,Saturday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,1C,H,12,1,Day,35302,2,3,0,1,0,2,1,2,T intersection,3,60
12000002748,13/01/2000,08.30.00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,30,A,11,1,Day,29482,2,2,0,2,0,0,1,1,Cross intersection,3,60
12000002750,12/1/2000,15.30.00,1,Collision with vehicle,4,Wednesday,143,ENTERING PARKING                      ,MEL,40,2P,A,8,1,Day,127337,2,2,0,1,0,1,1,5,Not at intersection,3,60
12000002762,12/1/2000,23.10.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH                        ,MEL,40,2J,F,1,3,Dark Street lights on,37411,2,2,0,2,0,0,1,1,Cross intersection,3,60
12000002764,13/01/2000,15.50.00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2K,H,2,1,Day,127340,2,2,0,1,0,1,1,5,Not at intersection,3,60
12000002774,11/1/2000,20.00.00,1,Collision with vehicle,3,Tuesday,131,LEFT REAR                          ,MEL,40,58,H,11,2,Dusk/Dawn,130177,2,3,0,1,0,2,2,5,Not at intersection,3,60
12000002813,5/1/2000,08.00.00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,MEL,40,2P,D,2,1,Day,10773,1,1,0,1,0,0,2,5,Not at intersection,3,60
12000002917,1/1/2000,00.30.00,2,Struck Pedestrian,7,Saturday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,MEL,40,1B,Q,10,3,Dark Street lights on,240,1,2,1,0,0,1,1,2,T intersection,2,60
12000002919,8/1/2000,14.48.00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH                        ,MEL,40,2L,D,11,1,Day,29466,2,3,0,1,0,2,1,1,Cross intersection,3,60
12000002925,1/1/2000,18.00.00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2G,B,9,1,Day,249,2,3,0,1,0,2,2,1,Cross intersection,3,60
12000002991,6/1/2000,11.01.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,MEL,40,1A,A,7,1,Day,29416,2,8,0,3,0,5,1,1,Cross intersection,3,60
12000003068,12/1/2000,08.20.00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,MEL,40,2P,H,9,1,Day,29597,2,2,0,1,0,1,2,1,Cross intersection,3,60
12000003076,14/01/2000,06.20.00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2E,H,12,1,Day,36813,2,5,0,2,0,3,1,1,Cross intersection,3,60
12000003082,13/01/2000,16.30.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,MEL,40,1A,H,10,1,Day,36928,2,2,0,1,0,1,2,2,T intersection,3,60
12000003098,13/01/2000,20.40.00,1,Collision with vehicle,5,Thursday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,MEL,40,2J,H,10,2,Dusk/Dawn,79939,2,5,1,0,0,4,1,5,Not at intersection,2,60
12000003136,14/01/2000,15.30.00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2C,F,8,1,Day,36629,2,3,0,1,0,2,1,1,Cross intersection,3,60
12000003137,14/01/2000,16.40.00,2,Struck Pedestrian,6,Friday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,MEL,40,2G,J,1,1,Day,127388,1,2,0,1,0,1,2,5,Not at intersection,3,60
12000003139,16/01/2000,11.55.00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,MEL,40,2C,J,1,1,Day,127386,1,1,1,0,0,0,1,5,Not at intersection,2,60
12000003183,11/1/2000,09.48.00,1,Collision with vehicle,3,Tuesday,140,U TURN                           ,MEL,40,88,B,8,1,Day,188669,2,2,1,0,0,1,1,5,Not at intersection,2,60
12000003420,18/01/2000,01.30.00,2,Struck Pedestrian,3,Tuesday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,MEL,40,2N,G,3,3,Dark Street lights on,126656,1,2,0,0,1,1,1,5,Not at intersection,1,60
12000003537,17/01/2000,17.00.00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,MEL,40,1A,F,6,1,Day,127511,3,4,0,1,0,3,2,5,Not at intersection,3,60
12000003564,17/01/2000,17.55.00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH                        ,MEL,40,30,B,12,1,Day,45873,2,2,0,2,0,0,1,2,T intersection,3,60
12000003584,18/01/2000,08.45.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2C,J,5,1,Day,127498,4,4,0,2,0,2,1,5,Not at intersection,3,60
12000003725,16/01/2000,12.00.00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,68,F,4,1,Day,127448,2,3,0,2,0,1,2,5,Not at intersection,3,60
12000003882,19/01/2000,20.50.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,92,E,1,2,Dusk/Dawn,29721,2,2,0,1,0,1,2,1,Cross intersection,3,60
12000003885,18/01/2000,09.22.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,78,G,2,1,Day,42345,2,2,0,1,0,1,1,2,T intersection,3,60
12000003949,22/01/2000,23.25.00,1,Collision with vehicle,7,Saturday,140,U TURN                           ,MEL,40,1B,R,3,3,Dark Street lights on,128879,2,2,0,1,0,1,1,5,Not at intersection,3,60
12000003954,22/01/2000,20.15.00,4,Collision with a fixed object,7,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,1B,V,10,3,Dark Street lights on,127545,2,2,1,0,0,1,1,5,Not at intersection,2,60
12000003956,23/01/2000,16.18.00,1,Collision with vehicle,1,Sunday,132,RIGHT REAR.                         ,MEL,40,1A,A,9,1,Day,36839,2,2,0,1,0,1,2,1,Cross intersection,3,60
12000003966,18/01/2000,16.15.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2L,E,9,1,Day,29468,2,2,0,1,0,1,2,1,Cross intersection,3,60
12000003969,14/01/2000,23.25.00,8,No collision and no object struck,6,Friday,172,OFF CARRIAGEWAY TO RIGHT                  ,MEL,40,93,H,12,3,Dark Street lights on,43252,2,4,0,3,0,1,1,2,T intersection,3,60
12000003971,19/01/2000,05.10.00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,MEL,40,2N,J,6,3,Dark Street lights on,40063,1,1,1,0,0,0,1,3,Y intersection,2,60
12000003984,16/01/2000,12.20.00,1,Collision with vehicle,1,Sunday,140,U TURN                           ,MEL,40,86,J,1,1,Day,42746,2,3,0,2,0,1,2,1,Cross intersection,3,60
12000004036,16/01/2000,17.55.00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,67,G,7,1,Day,673,2,2,0,1,0,1,1,1,Cross intersection,3,80
12000004042,14/01/2000,17.35.00,4,Collision with a fixed object,6,Friday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,MEL,40,97,J,7,1,Day,45846,1,1,1,0,0,0,1,2,T intersection,2,60
12000004069,13/01/2000,18.10.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,MEL,40,87,A,8,1,Day,42778,2,5,1,0,0,4,1,1,Cross intersection,2,60
12000004074,18/01/2000,15.40.00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH                        ,MEL,40,1A,C,5,1,Day,29417,2,3,1,2,0,0,1,1,Cross intersection,2,60
12000004082,22/01/2000,10.55.00,1,Collision with vehicle,7,Saturday,111,RIGHT FAR (INTERSECTIONS ONLY)               ,MEL,40,2B,D,10,1,Day,57448,2,2,0,1,0,1,1,1,Cross intersection,3,60
12000004088,19/01/2000,14.15.00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2P,D,4,1,Day,10679,2,2,0,1,0,1,1,4,Multiple intersection,3,60
12000004098,17/01/2000,23.00.00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,1A,G,9,3,Dark Street lights on,217,2,4,3,1,0,0,1,1,Cross intersection,2,60
12000004105,18/01/2000,06.35.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2P,H,5,2,Dusk/Dawn,29594,3,3,0,1,0,2,1,1,Cross intersection,3,60
12000004112,17/01/2000,07.30.00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,59,C,2,1,Day,191678,3,5,0,1,0,4,1,5,Not at intersection,3,100
12000004125,19/01/2000,08.00.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH                        ,MEL,40,2B,B,10,1,Day,36214,2,3,0,1,0,2,1,1,Cross intersection,3,60
12000004157,12/1/2000,17.25.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,59,A,4,1,Day,45851,2,5,0,1,0,4,1,1,Cross intersection,3,60
12000004319,21/01/2000,18.00.00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,MEL,40,2G,G,2,1,Day,76953,2,3,0,1,0,2,2,5,Not at intersection,3,60
12000004434,18/01/2000,19.00.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2P,D,5,2,Dusk/Dawn,40099,2,3,0,2,0,1,2,1,Cross intersection,3,60
12000004469,12/1/2000,08.25.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,93,F,6,1,Day,10668,2,4,0,1,0,3,2,2,T intersection,3,60
12000004487,11/1/2000,16.15.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,87,A,7,1,Day,29699,2,3,0,1,0,2,1,1,Cross intersection,3,60
12000004496,13/01/2000,16.40.00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2E,H,6,1,Day,10669,2,2,1,0,0,1,1,5,Not at intersection,2,60
12000004507,14/01/2000,07.30.00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,2E,A,8,1,Day,127552,2,2,0,1,0,1,1,5,Not at intersection,3,60
12000004529,31/01/2000,08.40.00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,MEL,40,2F,H,12,1,Day,127555,4,4,0,2,0,2,1,5,Not at intersection,3,60
12000004574,31/01/2000,13.32.00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2C,B,7,1,Day,29401,2,2,0,1,0,1,1,1,Cross intersection,3,60
12000004592,31/01/2000,11.30.00,4,Collision with a fixed object,2,Monday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE          ,MEL,40,42,K,11,1,Day,10671,1,1,0,1,0,0,1,4,Multiple intersection,3,100
12000004595,31/01/2000,16.39.00,8,No collision and no object struck,2,Monday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND)           ,MEL,40,42,J,12,1,Day,191683,1,1,1,0,0,0,1,4,Multiple intersection,2,80
12000004596,31/01/2000,19.30.00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,2A,E,9,1,Day,45884,2,2,0,1,0,1,1,1,Cross intersection,3,60
12000004611,22/01/2000,19.00.00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH                        ,MEL,40,59,E,11,1,Day,45882,2,3,0,1,0,2,1,2,T intersection,3,60
12000004626,25/01/2000,21.32.00,4,Collision with a fixed object,3,Tuesday,175,OFF END OF ROAD/T-INTERSECTION.               ,MEL,40,78,B,5,3,Dark Street lights on,127476,1,2,0,2,0,0,1,5,Not at intersection,3,60
12000004631,21/01/2000,08.15.00,2,Struck Pedestrian,6,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,MEL,40,1B,N,10,1,Day,238,1,2,0,2,0,0,1,1,Cross intersection,3,60
12000004644,21/01/2000,15.39.00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH                        ,MEL,40,1D,M,11,1,Day,10654,2,2,0,1,0,1,1,5,Not at intersection,3,60
12000004647,31/01/2000,22.50.00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2B,D,10,3,Dark Street lights on,57448,2,2,0,1,0,1,1,1,Cross intersection,3,60
12000004651,23/01/2000,21.40.00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,87,B,4,3,Dark Street lights on,42790,2,3,0,3,0,0,1,1,Cross intersection,3,60
12000004708,18/01/2000,10.15.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,1A,A,9,1,Day,124753,2,3,0,2,0,1,1,5,Not at intersection,3,60
12000004717,17/01/2000,11.00.00,2,Struck Pedestrian,2,Monday,108,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,MEL,40,69,A,4,1,Day,127532,1,2,0,1,0,1,2,5,Not at intersection,3,60
12000004731,22/01/2000,04.05.00,1,Collision with vehicle,7,Saturday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD    ,MEL,40,58,H,7,3,Dark Street lights on,91150,3,2,2,0,0,0,1,5,Not at intersection,2,60
12000004733,17/01/2000,20.00.00,1,Collision with vehicle,2,Monday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,MEL,40,2J,G,8,1,Day,37444,2,2,0,1,0,1,2,2,T intersection,3,60
12000004740,21/01/2000,12.25.00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH                        ,MEL,40,77,E,9,1,Day,42182,2,2,0,1,0,1,2,2,T intersection,3,60
12000005038,17/01/2000,09.30.00,2,Struck Pedestrian,2,Monday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,MEL,40,59,B,9,1,Day,126460,1,2,0,0,1,1,1,5,Not at intersection,1,60
12000005159,27/01/2000,00.23.00,2,Struck Pedestrian,5,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,MEL,40,1B,L,5,3,Dark Street lights on,127345,1,3,1,0,0,2,1,5,Not at intersection,2,60
12000005170,19/01/2000,20.45.00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,MEL,40,77,E,11,4,Dark Street lights off,42186,2,2,0,1,0,1,2,2,T intersection,3,60
12000005176,18/01/2000,23.15.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,68,C,4,3,Dark Street lights on,41318,2,3,2,0,0,1,1,1,Cross intersection,2,60
